"자치구별","관광지별",2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"합계","집계관광지수",14,14,14,14,14,19,19,19,19,17
"합계","합계",16847629,17830075,16082498,18216572,17222184,25483265,28172637,8476125,11215825,23144066
"합계","유료관광지",13022008,15250804,13974073,15849038,14672980,22682379,24845239,7354215,9777723,19763283
"합계","내국인",10229344,11875274,11109275,11482926,12238965,20222584,21859136,7165917,9691011,19161011
"합계","외국인",2792664,3375530,2864798,4366112,2434015,2459795,2986103,1200322,86712,602272
"합계","무료관광지",3825621,2579271,2108425,2367534,2549204,2800886,3327398,1121910,1438102,3380783
"합계","내국인",3265762,2025075,1704480,1936239,2364657,2603079,3124184,1099623,1418382,3380783
"합계","외국인",559859,554196,403945,431295,184547,197807,203214,22287,19720,
"종로구","집계관광지수",4,4,4,4,4,4,4,4,4,4
"종로구","합계",6945816,8235791,7819352,9064694,7559194,7357337,8456526,2029664,2501433,5743390
"종로구","유료관광지",6945816,8235791,7819352,9064694,7559194,7357337,8456526,2029664,2501433,5743390
"종로구","내국인",4851213,5754374,5602978,5508788,5815821,5602607,6283496,1810098,2455991,5324247
"종로구","외국인",2094603,2481417,2216374,3555906,1743373,1754730,2173030,219566,45442,419143
"종로구","무료관광지",,,,,,,,,,
"종로구","내국인",,,,,,,,,,
"종로구","외국인",,,,,,,,,,
"중구","집계관광지수",3,3,3,3,3,3,3,3,3,3
"중구","합계",5005838,3913159,3395406,3913660,4399008,4517220,5740994,2149342,2987028,6077185
"중구","유료관광지",1180217,1333888,1286981,1546126,1849804,1716334,2413596,1027432,1548926,2696402
"중구","내국인",1035879,1151792,1108388,1268344,1522049,1371381,2044800,976796,1531331,2593264
"중구","외국인",144338,182096,178593,277782,327755,344953,368796,50636,17595,103138
"중구","무료관광지",3825621,2579271,2108425,2367534,2549204,2800886,3327398,1121910,1438102,3380783
"중구","내국인",3265762,2025075,1704480,1936239,2364657,2603079,3124184,1099623,1418382,3380783
"중구","외국인",559859,554196,403945,431295,184547,197807,203214,22287,19720,
"용산구","집계관광지수",1,1,1,1,1,1,1,1,1,1
"용산구","합계",3051441,3530781,3080577,3396259,3476606,3304453,3354089,1738008,1273173,3398658
"용산구","유료관광지",3051441,3530781,3080577,3396259,3476606,3304453,3354089,1738008,1273173,3398658
"용산구","내국인",2904439,3409679,2951132,3212410,3365004,3178236,3215625,1713410,1259054,3328379
"용산구","외국인",147002,121102,129445,183849,111602,126217,138464,24598,14119,70279
"용산구","무료관광지",,,,,,,,,,
"용산구","내국인",,,,,,,,,,
"용산구","외국인",,,,,,,,,,
"동대문구","집계관광지수",,,,,,2,2,2,2,2
"동대문구","합계",,,,,,86688,86738,7186,25024,108222
"동대문구","유료관광지",,,,,,86688,86738,7186,25024,108222
"동대문구","내국인",,,,,,83918,82735,7033,24535,106444
"동대문구","외국인",,,,,,2770,4003,153,489,1778
"동대문구","무료관광지",,,,,,,,,,
"동대문구","내국인",,,,,,,,,,
"동대문구","외국인",,,,,,,,,,
"노원구","집계관광지수",1,1,1,1,1,1,1,1,1,1
"노원구","합계",40171,68143,102883,95281,99223,92309,98354,92848,77589,78828
"노원구","유료관광지",40171,68143,102883,95281,99223,92309,98354,92848,77589,78828
"노원구","내국인",39826,67715,102583,94844,99004,92069,97811,92791,77515,78722
"노원구","외국인",345,428,300,437,219,240,543,57,74,106
"노원구","무료관광지",,,,,,,,,,
"노원구","내국인",,,,,,,,,,
"노원구","외국인",,,,,,,,,,
"서대문구","집계관광지수",2,2,2,2,2,2,2,2,2,2
"서대문구","합계",918775,1027604,931858,991326,1026407,1034273,1289720,107866,182869,558905
"서대문구","유료관광지",918775,1027604,931858,991326,1026407,1034273,1289720,107866,182869,558905
"서대문구","내국인",867960,964311,873453,932240,972358,1021938,1254098,105307,181418,551709
"서대문구","외국인",50815,63293,58405,59086,54049,12335,35622,2559,1451,7196
"서대문구","무료관광지",,,,,,,,,,
"서대문구","내국인",,,,,,,,,,
"서대문구","외국인",,,,,,,,,,
"마포구","집계관광지수",1,1,1,1,1,1,1,1,1,
"마포구","합계",511722,668958,367129,383953,258504,263343,290752,35925,13622,
"마포구","유료관광지",511722,668958,367129,383953,258504,263343,290752,35925,13622,
"마포구","내국인",184636,155750,94792,100365,68784,61486,47276,8966,8635,
"마포구","외국인",327086,513208,272337,283588,189720,201857,243476,26959,4987,
"마포구","무료관광지",,,,,,,,,,
"마포구","내국인",,,,,,,,,,
"마포구","외국인",,,,,,,,,,
"서초구","집계관광지수",1,1,1,1,1,1,1,1,1,
"서초구","합계",39611,43308,42657,37681,39234,35365,49303,44749,44941,
"서초구","유료관광지",39611,43308,42657,37681,39234,35365,49303,44749,44941,
"서초구","내국인",38595,43080,42486,37525,39088,35223,49162,44699,44927,
"서초구","외국인",1016,228,171,156,146,142,141,50,14,
"서초구","무료관광지",,,,,,,,,,
"서초구","내국인",,,,,,,,,,
"서초구","외국인",,,,,,,,,,
"강남구","집계관광지수",1,1,1,1,1,1,1,1,1,1
"강남구","합계",334255,342331,342636,333718,364008,326910,382170,346056,413616,410807
"강남구","유료관광지",334255,342331,342636,333718,364008,326910,382170,346056,413616,410807
"강남구","내국인",306796,328573,333463,328410,356857,310359,360142,343003,411075,410175
"강남구","외국인",27459,13758,9173,5308,7151,16551,22028,3053,2541,632
"강남구","무료관광지",,,,,,,,,,
"강남구","내국인",,,,,,,,,,
"강남구","외국인",,,,,,,,,,
"송파구","집계관광지수",,,,,,3,3,3,3,3
"송파구","합계",,,,,,8465367,8423991,1924481,3696530,6768071
"송파구","유료관광지",,,,,,8465367,8423991,1924481,3696530,6768071
"송파구","내국인",,,,,,8465367,8423991,2063814,3696530,6768071
"송파구","외국인",,,,,,,,872691,,
"송파구","무료관광지",,,,,,,,,,
"송파구","내국인",,,,,,,,,,
"송파구","외국인",,,,,,,,,,
